record_id,post_title,post_url,post_views
"recVheZpJmfewGC30","This guy literally created the world's first vibe coding community with 100K+ creators"," https://x.com/aaditsh/status/1947701275472367658",""
"recCwCzq3tThRXtXj","Jaynit Makwana + Humwork+ Amplification X","http://x.com/JaynitMakwana/status/2044448653923004576",""
"recx0F4YDhRuB5iVK","I just created a landing page using ","https://x.com/0xIlyy/status/1912168330758103448",""
"recTuyxMNgEHLFWMn","Been looking for a place to share your vibe-coded project?","https://x.com/0xIlyy/status/1947703657442742481",""
"recvrAKsp8sm7b8Ja","Most people consume.","https://x.com/aaliya_va/status/1948769211343356111",""
"recDitZumvd1dtZCW","Chrome is 17 years old.","https://x.com/aaliya_va/status/1948799146997043606",""
Here are 10 Wild examples.","https://x.com/adarshchetan/status/1860556637494509813?s=46",""
Education Purpose Only:","https://x.com/adarshchetan/status/1860981070759366928?s=46",""
Here are 10 websites to create presentations with AI in seconds: 🧵 👇","https://x.com/adarshchetan/status/1862053591894348053?s=46",""
Here are 15 Impressive features you can’t miss :","https://x.com/adarshchetan/status/1864959185777233967?s=46",""
Here are 10 Wild examples.","https://x.com/adarshchetan/status/1876557787385459162?s=46",""
Here are the top 10 phones of 2025.","https://x.com/adarshchetan/status/1876918520388174002?s=46",""
Here are 12 amazing things your Mac can do:","https://x.com/adarshchetan/status/1877674414885756979?s=46",""
"recCimjB5TaNJAQe9","Say goodbye to ChatGPT!","https://x.com/AdarshChetan/status/1884232639093375210",""
Here are 12 Impressive features you can’t miss ","https://x.com/adarshchetan/status/1888588594312597819?s=46",""
"recv99IHtD3ZsUuTB","You can make $500 per day if you have:","https://x.com/AdarshChetan/status/1890031639251816523",""
"rec7y3qOT78za3j4F","Turn 30 seconds /Day into $1,000 with Pitch Decks","https://x.com/adarshchetan/status/1891119021892010238?s=46",""
"rec4N4mccUisuV7at","30 AI Tools to Start your Online Business in 2025:","https://x.com/AdarshChetan/status/1892207175810122191",""
Here are 8 mind-blowing examples.","https://x.com/adarshchetan/status/1892526465163702743?s=46",""
Here are 10 Wild examples.","https://x.com/adarshchetan/status/1893242936659431740?s=46",""
Here are 10 ways to double your Gmail productivity today:","https://x.com/adarshchetan/status/1899798819061252500?s=46",""
Here are 12 wild examples you need to see:","https://x.com/adarshchetan/status/1901660117516579111?s=46",""
Open 🧵","https://x.com/adarshchetan/status/1902683951090831806?s=46",""
[🔖 Bookmark for later]","https://x.com/adarshchetan/status/1903395639628796232?s=46",""
Open 🧵","https://x.com/adarshchetan/status/1904526221456916703?s=46",""
Here are 10 Wild examples.","https://x.com/adarshchetan/status/1916439711809409310?s=46",""
Here are 15 Impressive features you can’t miss :","https://x.com/adarshchetan/status/1949462302996279561?s=46",""
Here are 12 amazing things Google Maps can do:","https://x.com/adarshchetan/status/1950587412125720587?s=46",""
Here are the top 10 of 2025","https://x.com/adarshchetan/status/1950911961073688646?s=46",""
"recak0fH8yxpv9ODU","gen AI is reshaping the gig economy—embracers work smarter, not harder","https://x.com/adonis_singh/status/1893004932053377031",""
"recuKG17EUE5WgKOE","looked at  @MeetGamma  2.0. ","https://x.com/adonis_singh/status/1912239269822796041",""
"recTQovv6zMTnUfIH","vibe c̶o̶d̶i̶n̶g̶ marketing","https://x.com/adonis_singh/status/1928561176322974054",""
"recpJkYMbdWH3TSC8","This AI tool allows you to turn a simple text into a professional side deck.","https://x.com/aftahi_ai/status/1904032613138063833",""
Here's everything you need to know:","https://x.com/aftahi_ai/status/1914900418511224996",""
This truly marks the beginning of PowerPoint's end.","https://x.com/aftahi_ai/status/1916704304607773016",""
Now, I can create functional landing page in less than 120 seconds using AI.","https://x.com/aftahi_ai/status/1923248082113921260",""
step-by-step guide","https://x.com/aftahi_ai/status/1925785498519232779",""
