"record_id","post_title","creator_name","post_type","post_url","mention_url","post_views","mention_views","linkedin_view_count","youtube_view_count","tiktok_view_count","threads_view_count"
"rec010qaBn9Ioucro","jyoti Soni + Engramme+ Amplification X","jyoti Soni","Amplification X","https://x.com/soni_jyoti_/status/2042278652126351418?s=46","","2830","","","","",""
"rec01PxItwYVV9Od2","The AI Guru X + Anam AI+ Amplification X","The AI Guru","Amplification X","https://x.com/AI_GuruX/status/2023795363690541274","","4562","","","","",""
"rec01jtT7ATeCk1Pj","Austin Armstrong + YouWare + Instagram post","Austin Armstrong","Instagram post","https://www.instagram.com/reel/DQ-fuUEDkLH/?igsh=MXJnazg2dmtmMnAyYw%3D%3D","","9539","","","","",""
"rec03hLiBq7H6V6DX","Toha Khan + Hey Noah AI+ Amplification X","Toha Khan","Amplification X","https://x.com/HeyToha/status/2029986396350599248","","9922","","","","",""
"rec05HgItLKpy7CvU","These ads aren't just ADS; they're MASTERPIECES.","Nayeem Sheikh","Thread mention X","https://x.com/HeyNayeem/status/1884519238872059983","https://x.com/HeyNayeem/status/1884519238872059983","","","","","",""
"rec07VEZT7CfDEotW","Saidul + Wisprflow+ Amplification X","Saidul","Amplification X","https://x.com/saidul_dev/status/2021637337181200857","","4930","","","","",""
"rec08nUvK4AO0jGJx","Launch post","Taushik Alam | Canva Designer | AI and Tech","Single post X","https://x.com/HeyToha/status/1907485843901878463","https://x.com/HeyToha/status/1907485843901878463","","","","","",""
"rec099rATJ28B6CHb","🔮 Exponential View #548 [core Substack]","Exponential View","Newsletter ad","exists","","","","","","",""
"rec0BIEyx6qNjUK9t","Polanco | IA + Templafy+ Amplification X","Polanco | IA","Amplification X","https://x.com/polanco_ia/status/2037550679477146061","","20700","","","","",""
"rec0BhzcZ2xxhwJBW","Output = Amit + Blockit + Amplification X","Amit","Amplification X","https://x.com/HeyAmit_/status/2014394979196837888","","4100","","","","",""
"rec0Bso18Eewi8jw7","100+ AI Tools to Finish Hours of Work in Minutes","kamran Hassan","Listicle X","https://x.com/Rana_kamran43/status/1901590382565351757","https://x.com/Rana_kamran43/status/1901590382565351757","","","","","",""
